product_key,name,slug,category_slug,part_brand_slug,product_type,short_description,description,attr:material,attr:brand,attr:usage-application,attr:laser-type,attr:color,attr:country-of-origin,attr:application,attr:focal-length,attr:diameter,attr:lens-type,attr:laser-wavelength,attr:shape,attr:power-handling,attr:coating,attr:type,attr:packaging-type,attr:marking-speed-capacity,attr:nozzle-diameter,attr:size,attr:model-name-number,attr:design-method,attr:height,attr:marking-depth,attr:corrosion-resistance,attr:marking-speed,attr:thickness,attr:assist-gas,attr:mount-type,attr:outer-diameter,attr:max-laser-power,attr:cooling-method,attr:nozzle-type,attr:ring-type,attr:process-type,attr:laser-power,attr:uses,attr:inner-diameter,attr:collimation-lens,attr:surface-finish,attr:pack-size,attr:offering-laser,attr:ceramic-material,attr:usage,attr:monitoring,attr:surface-finishing,attr:thread-size,attr:valve-size,attr:mounting-type,attr:part-type,attr:wall-thickness,attr:ring-height,attr:max-service-temp,attr:finish,attr:hardness,attr:copper-grade,attr:tip-type,attr:sterile,attr:bud-color,attr:packing-type,attr:voltage,attr:automation-grade,attr:feature,attr:parts,attr:leak-proof,attr:features,attr:finishing-type,attr:weight,attr:stick-material,attr:stick-length,attr:mounting-interface,attr:frame-material,attr:light-source-type,attr:support-laser-power,attr:max-cutting-thickness,attr:job-work-basis,attr:usage-industry,attr:service-location,attr:frequency,attr:temperature,attr:power,attr:part-number,attr:aperture,attr:form,attr:pack-volume,attr:tissue-type,attr:tissue-material,attr:country-of-origin-2,attr:gender,attr:is-it-reusable,attr:head-material,attr:total-length,attr:handle-material,attr:output-power,attr:cable-conductor,attr:insulation-material,attr:waterproof,attr:bore-size,attr:connection-type,attr:rubber-material,attr:series-no,attr:anode-dissipation,attr:anode-voltage,attr:available-interfaces,attr:cooling,attr:filter-media,attr:construction,attr:medium-material,attr:efficiency,attr:filter-class,attr:filtration-grade,attr:location,attr:production-capacity,attr:series,attr:power-resolution,attr:media,attr:protection-use,attr:fit-type,attr:inner-size,attr:finish-type,attr:beam-emission-shape,attr:ar-coated,attr:service-material,attr:machine-type,attr:operation-type,attr:max-sheet-size,attr:application-industry,attr:material-supply,attr:file-format,attr:pipe-material,attr:max-pipe-diameter,attr:pipe-shape,attr:cutting-type,attr:pipe-length-handling,attr:compressor-type,attr:cooling-capacity,attr:deep-filtration,attr:pressure,attr:max-flow-rate,attr:number-of-stages,attr:mounting,attr:mirror-type,attr:reflectivity,attr:working-temperature,attr:frame-type,attr:lens-material,attr:base-solvent,attr:formulation-type,attr:grade-standard,attr:pattern,attr:use,attr:packaging-size,attr:sheet-size,attr:by-nozzle-double,attr:by-nozzle-hd,attr:torch-model,attr:current-rating,attr:nozzle-bore,attr:consumable-type,attr:torch-type,attr:vehicle-model,attr:size-inch,attr:length,attr:valve,attr:quantity-per-pack,attr:pitch-series,attr:structure,attr:outer-measurement,attr:anti-fog,attr:head-shape,attr:sterility,attr:tip-material,attr:phone-brand,attr:center-wavelength,attr:modulation-type,attr:motor-voltage,attr:motor-current,attr:control-method,attr:feedback-type,attr:input-control-signal,attr:protection-features,attr:braking-type,attr:brand-name,attr:rf-interface,attr:impedance,attr:maximum-frequency,attr:pin-type,attr:mounting-style,attr:power-rating,attr:control-interface,attr:power-supply,attr:cooling-type,attr:communication,attr:tool-type,attr:compatible-power,attr:compatible-brand,attr:nozzle-outlet-size,attr:gas-type,attr:body-material,attr:capacity,attr:max-sheet-thickness,attr:max-bending-length,attr:bending-accuracy,attr:bending-type,attr:material-grade,attr:supported-format,attr:industry-served,attr:service-mode,attr:aperture-range,attr:focus,attr:cleaner-type,attr:lens-type-compatibility,attr:volume
BS12K-RAYTOOLS-CERAMIC-RING,BS12k Raytools Ceramic Ring,bs12k-raytools-ceramic-ring,ceramic-rings,raytools,SPARE_PART,,,,Raytools,Exterior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10MM-BOCI-CERAMIC-RING,10mm Boci Ceramic Ring,10mm-boci-ceramic-ring,ceramic-rings,boci,SPARE_PART,,,,BOCI,Exterior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-3D-CERAMIC-RING,Raytool 3D Ceramic Ring,raytool-3d-ceramic-ring,ceramic-rings,boci,SPARE_PART,,,,BOCI,Promotional Use,,White,,,,10 mm,,,Round,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-3D-CERAMIC-RING-2,Raytool 3D Ceramic Ring,raytool-3d-ceramic-ring-2,ceramic-rings,raytools,SPARE_PART,,,,Raytools,Interior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIA-28-CERAMIC-RING,Dia 28 Ceramic Ring,dia-28-ceramic-ring,ceramic-rings,,SPARE_PART,,,,,,,White,,Mechanical Seal,,,,,,,,,,,,,,,,,,,,,,10 mm,,,,Raschig Ring,,,,5 mm,,As Fired,,,Alumina,,,,,,,,,10 mm,800°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIA-32-CERAMIC-RING-RAYTOOLS,Dia 32 Ceramic Ring Raytools,dia-32-ceramic-ring-raytools,ceramic-rings,,SPARE_PART,,,,,,,White,,Mechanical Seal,,,,,,,,,,,,,,,,,,,,,,10 mm,,,,Raschig Ring,,,,5 mm,,As Fired,,,Alumina,,,,,,,,,10 mm,800°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-4-RAYTOOL-3D-CERAMIC-RING,21.4 Raytool 3D Ceramic Ring,21-4-raytool-3d-ceramic-ring,ceramic-rings,,SPARE_PART,,,,,,,White,,Mechanical Seal,,,,,,,,,,,,,,,,,,,,,,10 mm,,,,Seal Ring,,,,5 mm,,As Fired,,,Alumina,,,,,,,,,10 mm,800°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECITEC-PROCUTTER-CERAMIC-RING,Precitec Procutter Ceramic Ring,precitec-procutter-ceramic-ring,ceramic-rings,boci,SPARE_PART,,,,BOCI,Exterior Decor,,,,,,10 mm,,,,,,,,,,,,Hand Building,,,,,,,,10 mm,,,,Raschig Ring,,,,,,,,,Alumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-2700-DNE-AIR-OUTLET-RING,I 2700 DNE Air Outlet Ring,i-2700-dne-air-outlet-ring,ceramic-rings,raytools,SPARE_PART,,,,Raytools,Exterior Decor,,,,,,10 mm,,,Round,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-3502-DNE-AIR-OUTLET-RING,I 3502 DNE Air Outlet Ring,i-3502-dne-air-outlet-ring,ceramic-rings,raytools,SPARE_PART,,,,Raytools,Exterior Decor,,,Made in India,,,10 mm,,,,,,,DNE Air Outlet Ring I 3502,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-CERAMIC-LOCK-RING,RayTools Ceramic Lock Ring,raytools-ceramic-lock-ring,ceramic-rings,raytools,SPARE_PART,"A RayTools Ceramic Lock Ring is a high-temperature, wear-resistant component made from ceramic materials like alumina or zirconia, designed to protect fiber laser cutting heads by insulating against thermal stress, ensuring alignment, and minimizing damage during cutting operations.","A RayTools Ceramic Lock Ring is a high-temperature, wear-resistant component made from ceramic materials like alumina or zirconia, designed to protect fiber laser cutting heads by insulating against thermal stress, ensuring alignment, and minimizing damage during cutting operations. These precision-engineered rings enhance cutting performance and extend the lifespan of laser heads by reducing wear and tear on components like the lens.",MS,Raytools,Laser cuting Machine,,,Made in India,,,10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSX NC63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-3502-DNE-CERAMIC-RING,I 3502 DNE Ceramic Ring,i-3502-dne-ceramic-ring,ceramic-rings,raytools,SPARE_PART,,,Brass,Raytools,Exterior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPRI-LC608-COLLIMATION-LENS,OSPRI LC608 Collimation Lens,ospri-lc608-collimation-lens,collimation-lens,raytools,SPARE_PART,,,,Raytools,,OSPRI LC608,,Made in India,,,,,,,,,,,,,,,,,,,6000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPRI-LC218-COLLIMATION-LENS,OSPRI LC218 Collimation Lens,ospri-lc218-collimation-lens,collimation-lens,,SPARE_PART,,,Fused Silica,,,CO2,,,Cutting,50 mm,,Plano Convex,355 nm,,<50 W,AR 355 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-LENS-CLEANING-STICK,Laser Lens Cleaning Stick,laser-lens-cleaning-stick,contact-lens-cleaners,,SPARE_PART,,,,,Laser lens,,Green,Made in India,,,,,,,,,,Pouch,,,standard size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNE-COPPER-RING,DNE Copper Ring,dne-copper-ring,copper-rings,,SPARE_PART,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,,,10 mm,,,,Flat Copper Ring,,,,4 mm,,,,,,,,,,,,,,,,Bare Copper,Soft,ETP Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTTON-SWAB-LARGE-L-121MM,Cotton Swab - Large - L - 121mm,cotton-swab-large-l-121mm,cotton-swabs,,SPARE_PART,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,50 Sticks,,,,,,,,,,,,,,,,Single Tip,Non Sterile,Blue,,,,,,,,,,Plastic,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTTON-SWAB-SMALL-L-70-MM,Cotton Swab - Small - L - 70 Mm,cotton-swab-small-l-70-mm,cotton-swabs,,SPARE_PART,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,50 Sticks,,,Laser cleaning,,,,,,,,,,,,,Single Tip,Non Sterile,White,,,,,,,,,,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
